Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,2,-2,0.0010
12,1200000,2,-2,-0.0010
13,1300000,2,-2,-0.0020
14,1400000,2,-2,0.0010
15,1500000,2,-2,0.0000
16,1600000,2,-2,-0.0010
17,1700000,2,-2,-0.0010
18,1800000,2,-2,-0.0020
19,1900000,2,-2,0.0000
20,2000000,2,-2,0.0000
21,2100000,2,-2,-0.0010
22,2200000,2,-2,0.0000
23,2300000,2,-2,-0.0010
24,2400000,2,-2,0.0000
25,2500000,2,-2,0.0010
26,2600000,2,-2,0.0000
27,2700000,2,-2,-0.0010
28,2800000,2,-2,0.0000
29,2900000,2,-2,0.0010
30,3000000,2,-2,-0.0010
31,3100000,2,-2,-0.0010
32,3200000,2,-2,0.0000
33,3300000,2,-2,-0.0010
34,3400000,2,-2,0.0000
35,3500000,2,-2,-0.0010
36,3600000,2,-2,0.0000
37,3700000,2,-2,-0.0010
38,3800000,2,-2,0.0000
39,3900000,2,-2,0.0000
40,4000000,2,-2,0.0010
41,4100000,2,-2,-0.0010
42,4200000,2,-2,0.0000
43,4300000,2,-2,-0.0010
44,4400000,2,-2,-0.0020
45,4500000,2,-2,-0.0010
46,4600000,2,-2,-0.0020
47,4700000,2,-2,0.0000
48,4800000,2,-2,-0.0010
49,4900000,2,-2,-0.0010
50,5000000,2,-2,0.0000
51,5100000,2,-2,0.0000
52,5200000,2,-2,0.0000
53,5300000,2,-2,-0.0010
54,5400000,2,-2,0.0000
55,5500000,2,-2,0.0000
56,5600000,2,-2,0.0000
57,5700000,2,-2,-0.0010
58,5800000,2,-2,0.0000
59,5900000,2,-2,0.0000
60,6000000,2,-2,0.0010
61,6100000,2,-2,0.0010
62,6200000,2,-2,0.0000
63,6300000,2,-2,0.0000
64,6400000,2,-2,0.0000
65,6500000,2,-2,0.0000
66,6600000,2,-2,0.0010
67,6700000,2,-1,0.0010
68,6800000,2,-2,0.0010
69,6900000,2,-2,-0.0010
70,7000000,2,-1,-0.0010
71,7100000,2,-2,0.0000
72,7200000,2,-2,0.0000
73,7300000,2,-2,0.0000
74,7400000,2,-2,0.0000
75,7500000,2,-2,0.0000
76,7600000,2,-2,-0.0010
77,7700000,2,-2,0.0000
78,7800000,3,-2,0.0010
79,7900000,2,-2,-0.0010
80,8000000,2,-2,-0.0020
81,8100000,2,-1,-0.0010
82,8200000,2,-1,-0.0010
83,8300000,2,-1,0.0000
84,8400000,2,-2,0.0000
85,8500000,2,-2,0.0010
86,8600000,2,-2,-0.0010
87,8700000,2,-2,0.0000
88,8800000,2,-2,0.0000
89,8900000,3,-2,0.0000
90,9000000,2,-2,0.0010
91,9100000,2,-2,-0.0010
92,9200000,2,-2,0.0000
93,9300000,3,-2,0.0000
94,9400000,3,-2,-0.0020
95,9500000,3,-2,-0.0010
96,9600000,3,-2,0.0000
97,9700000,3,-2,0.0000
98,9800000,2,-2,-0.0020
99,9900000,2,-2,0.0000
100,10000000,3,-2,0.0000
101,10100000,2,-1,0.0000
102,10200000,2,-2,-0.0030
103,10300000,0,0,-0.0060
104,10400000,-3,4,-0.0070
105,10500000,-6,7,-0.0090
106,10600000,-9,10,-0.0090
107,10700000,-11,12,-0.0100
108,10800000,-14,14,-0.0100
109,10900000,-17,17,-0.0110
110,11000000,-20,21,-0.0110
111,11100000,-23,23,-0.0120
112,11200000,-25,26,-0.0120
113,11300000,-28,29,-0.0120
114,11400000,-31,31,-0.0120
115,11500000,-33,34,-0.0120
116,11600000,-36,36,-0.0120
117,11700000,-39,39,-0.0120
118,11800000,-42,42,-0.0120
119,11900000,-46,46,-0.0120
120,12000000,-49,49,-0.0120
121,12100000,-51,51,-0.0120
122,12200000,-54,54,-0.0120
123,12300000,-58,57,-0.0120
124,12400000,-61,60,-0.0120
125,12500000,-63,62,-0.0120
126,12600000,-66,65,-0.0120
127,12700000,-70,69,-0.0120
128,12800000,-73,71,-0.0120
129,12900000,-75,73,-0.0120
130,13000000,-77,76,-0.0130
131,13100000,-81,78,-0.0140
132,13200000,-85,81,-0.0180
133,13300000,-87,82,-0.0230
134,13400000,-92,81,-0.0310
135,13500000,-96,78,-0.0420
136,13600000,-100,74,-0.0550
137,13700000,-105,67,-0.0710
138,13800000,-110,60,-0.0910
139,13900000,-119,50,-0.1190
140,14000000,-126,41,-0.1430
141,14100000,-133,33,-0.1650
142,14200000,-140,25,-0.1890
143,14300000,-147,16,-0.2100
144,14400000,-157,5,-0.2420
145,14500000,-168,-8,-0.2780
146,14600000,-178,-18,-0.3080
147,14700000,-191,-32,-0.3480
148,14800000,-203,-45,-0.3840
149,14900000,-213,-55,-0.4150
150,15000000,-221,-64,-0.4390
151,15100000,-231,-74,-0.4680
152,15200000,-238,-82,-0.4910
153,15300000,-249,-93,-0.5260
154,15400000,-263,-107,-0.5660
155,15500000,-277,-122,-0.6090
156,15600000,-292,-137,-0.6530
157,15700000,-306,-151,-0.6950
158,15800000,-318,-163,-0.7290
159,15900000,-327,-171,-0.7570
160,16000000,-338,-182,-0.7870
161,16100000,-348,-192,-0.8180
162,16200000,-363,-207,-0.8620
163,16300000,-378,-221,-0.9030
164,16400000,-391,-233,-0.9400
165,16500000,-405,-246,-0.9790
166,16600000,-421,-261,-1.0250
167,16700000,-437,-275,-1.0720
168,16800000,-452,-288,-1.1150
169,16900000,-465,-300,-1.1490
170,17000000,-479,-313,-1.1890
171,17100000,-493,-325,-1.2290
172,17200000,-510,-340,-1.2770
173,17300000,-525,-353,-1.3190
174,17400000,-539,-365,-1.3560
175,17500000,-552,-375,-1.3920
176,17600000,-564,-385,-1.4230
177,17700000,-575,-395,-1.4560
178,17800000,-589,-406,-1.4930
179,17900000,-605,-421,-1.5410
180,18000000,-623,-435,-1.5860
181,18100000,-640,-449,-1.6320
182,18200000,-658,-463,-1.6790
183,18300000,-672,-474,-1.7180
184,18400000,-684,-484,-1.7510
185,18500000,-694,-492,-1.7790
186,18600000,-709,-506,-1.8190
187,18700000,-726,-520,-1.8660
188,18800000,-747,-537,-1.9230
189,18900000,-766,-553,-1.9780
190,19000000,-782,-566,-2.0220
191,19100000,-796,-578,-2.0590
192,19200000,-809,-589,-2.0960
193,19300000,-822,-600,-2.1310
194,19400000,-836,-612,-2.1710
195,19500000,-849,-624,-2.2110
196,19600000,-864,-638,-2.2540
197,19700000,-885,-656,-2.3090
198,19800000,-901,-670,-2.3540
199,19900000,-913,-681,-2.3910
200,20000000,-923,-691,-2.4240
201,20100000,-937,-704,-2.4620
202,20200000,-952,-717,-2.5050
