Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,6,-8,0.0230
12,1200000,6,-8,0.0220
13,1300000,6,-8,0.0220
14,1400000,6,-8,0.0200
15,1500000,6,-8,0.0200
16,1600000,6,-8,0.0220
17,1700000,6,-8,0.0230
18,1800000,6,-8,0.0220
19,1900000,6,-8,0.0220
20,2000000,6,-8,0.0200
21,2100000,6,-8,0.0210
22,2200000,6,-8,0.0230
23,2300000,6,-8,0.0220
24,2400000,6,-8,0.0230
25,2500000,6,-8,0.0210
26,2600000,6,-8,0.0200
27,2700000,6,-8,0.0230
28,2800000,6,-8,0.0230
29,2900000,6,-8,0.0220
30,3000000,6,-8,0.0230
31,3100000,6,-8,0.0230
32,3200000,6,-8,0.0220
33,3300000,6,-8,0.0220
34,3400000,6,-8,0.0220
35,3500000,6,-8,0.0220
36,3600000,6,-8,0.0210
37,3700000,6,-8,0.0210
38,3800000,6,-8,0.0200
39,3900000,6,-8,0.0220
40,4000000,6,-8,0.0220
41,4100000,6,-8,0.0230
42,4200000,6,-8,0.0210
43,4300000,6,-8,0.0210
44,4400000,6,-8,0.0220
45,4500000,6,-8,0.0220
46,4600000,6,-8,0.0220
47,4700000,6,-8,0.0220
48,4800000,6,-8,0.0220
49,4900000,6,-8,0.0230
50,5000000,6,-8,0.0220
51,5100000,6,-8,0.0230
52,5200000,6,-8,0.0220
53,5300000,6,-8,0.0220
54,5400000,6,-8,0.0230
55,5500000,6,-8,0.0230
56,5600000,6,-8,0.0210
57,5700000,6,-8,0.0210
58,5800000,6,-8,0.0230
59,5900000,6,-8,0.0240
60,6000000,6,-8,0.0220
61,6100000,6,-8,0.0230
62,6200000,6,-8,0.0210
63,6300000,6,-8,0.0220
64,6400000,6,-8,0.0210
65,6500000,6,-8,0.0220
66,6600000,6,-8,0.0220
67,6700000,6,-8,0.0210
68,6800000,6,-8,0.0230
69,6900000,6,-8,0.0210
70,7000000,6,-8,0.0220
71,7100000,6,-8,0.0230
72,7200000,6,-8,0.0220
73,7300000,6,-8,0.0220
74,7400000,6,-8,0.0220
75,7500000,6,-8,0.0230
76,7600000,6,-8,0.0210
77,7700000,6,-8,0.0220
78,7800000,6,-8,0.0220
79,7900000,6,-8,0.0230
80,8000000,6,-8,0.0220
81,8100000,6,-8,0.0230
82,8200000,6,-8,0.0230
83,8300000,6,-8,0.0220
84,8400000,6,-8,0.0230
85,8500000,6,-8,0.0230
86,8600000,6,-8,0.0230
87,8700000,6,-8,0.0230
88,8800000,6,-8,0.0220
89,8900000,6,-8,0.0230
90,9000000,6,-8,0.0230
91,9100000,6,-8,0.0220
92,9200000,6,-8,0.0220
93,9300000,6,-8,0.0230
94,9400000,6,-8,0.0240
95,9500000,6,-8,0.0230
96,9600000,6,-8,0.0220
97,9700000,6,-8,0.0230
98,9800000,6,-8,0.0220
99,9900000,6,-8,0.0230
100,10000000,6,-8,0.0230
101,10100000,6,-8,0.0230
102,10200000,6,-8,0.0240
103,10300000,6,-8,0.0230
104,10400000,6,-8,0.0220
105,10500000,6,-8,0.0230
106,10600000,6,-8,0.0230
107,10700000,6,-8,0.0220
108,10800000,6,-8,0.0230
109,10900000,6,-8,0.0230
110,11000000,6,-8,0.0230
111,11100000,6,-8,0.0240
112,11200000,6,-8,0.0230
113,11300000,6,-8,0.0230
114,11400000,6,-8,0.0230
115,11500000,6,-8,0.0230
116,11600000,6,-8,0.0240
117,11700000,6,-8,0.0230
118,11800000,6,-8,0.0230
119,11900000,6,-8,0.0230
120,12000000,6,-8,0.0230
121,12100000,6,-8,0.0240
122,12200000,6,-8,0.0230
123,12300000,6,-8,0.0230
124,12400000,6,-8,0.0240
125,12500000,6,-8,0.0240
126,12600000,6,-8,0.0240
127,12700000,6,-8,0.0240
128,12800000,6,-8,0.0240
129,12900000,6,-8,0.0230
130,13000000,6,-8,0.0230
131,13100000,6,-8,0.0220
132,13200000,6,-8,0.0240
133,13300000,6,-8,0.0240
134,13400000,6,-8,0.0230
135,13500000,6,-8,0.0230
136,13600000,6,-8,0.0240
137,13700000,6,-8,0.0240
138,13800000,6,-8,0.0230
139,13900000,6,-8,0.0240
140,14000000,6,-8,0.0230
141,14100000,6,-8,0.0230
142,14200000,6,-8,0.0240
143,14300000,6,-8,0.0240
144,14400000,6,-8,0.0240
145,14500000,6,-8,0.0240
146,14600000,6,-8,0.0240
147,14700000,6,-8,0.0230
148,14800000,6,-8,0.0230
149,14900000,6,-8,0.0240
150,15000000,6,-8,0.0240
151,15100000,6,-8,0.0230
