Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,-2,4,0.0030
12,1200000,-2,4,0.0040
13,1300000,-2,4,0.0020
14,1400000,-2,4,0.0020
15,1500000,-2,4,0.0030
16,1600000,-2,4,0.0030
17,1700000,-2,4,0.0050
18,1800000,-2,4,0.0030
19,1900000,-2,4,0.0020
20,2000000,-2,4,0.0030
21,2100000,-2,4,0.0030
22,2200000,-2,4,0.0030
23,2300000,-2,4,0.0030
24,2400000,-2,4,0.0030
25,2500000,-2,4,0.0030
26,2600000,-2,4,0.0020
27,2700000,-2,4,0.0030
28,2800000,-2,4,0.0020
29,2900000,-2,4,0.0040
30,3000000,-2,4,0.0050
31,3100000,-2,4,0.0040
32,3200000,-2,4,0.0030
33,3300000,-2,4,0.0040
34,3400000,-2,4,0.0030
35,3500000,-2,4,0.0040
36,3600000,-2,4,0.0040
37,3700000,-3,4,0.0020
38,3800000,-2,4,0.0030
39,3900000,-2,4,0.0020
40,4000000,-2,4,0.0030
41,4100000,-3,4,0.0020
42,4200000,-2,4,0.0030
43,4300000,-2,4,0.0030
44,4400000,-2,4,0.0030
45,4500000,-2,4,0.0030
46,4600000,-2,4,0.0030
47,4700000,-2,4,0.0030
48,4800000,-2,4,0.0020
49,4900000,-2,4,0.0050
50,5000000,-2,4,0.0030
51,5100000,-3,4,0.0020
52,5200000,-3,4,0.0020
53,5300000,-3,4,0.0020
54,5400000,-3,4,0.0020
55,5500000,-3,4,0.0020
56,5600000,-2,4,0.0030
57,5700000,-3,4,0.0010
58,5800000,-3,4,0.0020
59,5900000,-3,4,0.0020
60,6000000,-3,4,0.0020
61,6100000,-3,4,0.0010
62,6200000,-2,4,0.0030
63,6300000,-3,4,0.0030
64,6400000,-3,4,0.0030
65,6500000,-2,4,0.0030
66,6600000,-2,4,0.0030
67,6700000,-3,4,0.0020
68,6800000,-3,4,0.0020
69,6900000,-3,4,0.0020
70,7000000,-3,4,0.0020
