Specimen name,"CAG-CF-ER-Comp-E7"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"0.00102","0.00000","3.00375","-0.05786","0.00000"
"0.00293","0.00050","4.42334","0.17469","0.10000"
"0.01268","0.00294","13.18841","9.20434","0.20000"
"0.02813","0.00436","26.08072","21.95980","0.30000"
"0.05215","0.00638","45.89814","42.44537","0.40000"
"0.07098","0.00794","60.10315","58.39287","0.50000"
"0.09295","0.00971","78.43477","77.69057","0.60000"
"0.11205","0.01122","92.52570","93.89401","0.70000"
"0.13472","0.01300","109.91628","113.22079","0.80000"
"0.15855","0.01482","127.68248","133.99434","0.90000"
"0.17337","0.01597","140.00387","148.75538","1.00000"
"0.20162","0.01809","161.46910","172.54542","1.10000"
"0.22259","0.01965","176.80769","191.50163","1.20000"
"0.24580","0.02135","193.90120","212.05362","1.30000"
"0.26715","0.02292","209.82872","231.28005","1.40000"
"0.29121","0.02465","228.16294","252.54983","1.50000"
"0.31619","0.02644","246.36605","275.46284","1.60000"
"0.33349","0.02769","259.54863","291.03635","1.70000"
"0.36484","0.02988","284.35665","319.26515","1.80000"
"0.38586","0.03136","300.59557","337.89390","1.90000"
"0.40784","0.03289","317.48461","357.64609","2.00000"
"0.43305","0.03465","337.32015","382.80938","2.10000"
"0.45779","0.03636","355.84113","405.46240","2.20000"
"0.48261","0.03807","374.05099","428.15544","2.30000"
"0.50110","0.03936","387.28700","444.62629","2.40000"
"0.53288","0.04149","411.96245","473.12325","2.50000"
"0.55533","0.04303","428.12622","492.60730","2.60000"
"0.57734","0.04454","445.11387","513.55618","2.70000"
"0.60430","0.04635","466.63269","537.74664","2.80000"
"0.62893","0.04802","484.83233","559.44448","2.90000"
"0.65306","0.04966","503.82188","582.48156","3.00000"
"0.67299","0.05102","517.83380","599.96976","3.10000"
"0.70366","0.05307","540.60313","628.13686","3.20000"
"0.72826","0.05473","559.14070","649.38731","3.30000"
"0.75006","0.05621","575.33581","669.79358","3.40000"
"0.77820","0.05809","597.44436","695.32153","3.50000"
"0.80199","0.05969","614.23652","716.76174","3.60000"
"0.82508","0.06125","632.52443","738.02617","3.70000"
"0.84802","0.06279","650.43115","758.25583","3.80000"
"0.87700","0.06472","672.98603","785.29667","3.90000"
"0.90240","0.06643","691.96679","807.84137","4.00000"
"0.92301","0.06783","708.00894","826.61520","4.10000"
"0.95145","0.06972","729.23850","853.08327","4.20000"
"0.97579","0.07136","748.55972","874.94269","4.30000"
"0.99775","0.07287","766.19408","895.02352","4.40000"
"1.02368","0.07459","786.43829","918.04180","4.50000"
"1.04990","0.07635","805.66236","942.53360","4.60000"
"1.07514","0.07804","825.66083","965.31649","4.70000"
"1.09591","0.07948","840.99727","984.81379","4.80000"
"1.12489","0.08140","863.31129","1010.93680","4.90000"
"1.15100","0.08316","884.00854","1035.16597","5.00000"
"1.16982","0.08448","898.81883","1052.67228","5.10000"
"1.19715","0.08629","919.67062","1076.92124","5.20000"
"1.22194","0.08799","938.14859","1099.88067","5.30000"
"1.24833","0.08976","958.72721","1124.56223","5.40000"
"1.26861","0.09118","974.91097","1142.82302","5.50000"
"1.29638","0.09303","996.22854","1169.06152","5.60000"
"1.32478","0.09494","1018.98343","1193.82085","5.70000"
"1.34046","0.09610","1031.44057","1209.05344","5.80000"
"1.36924","0.09802","1052.72268","1233.82185","5.90000"
"1.39203","0.09962","1071.56276","1255.33040","6.00000"
"1.41900","0.10146","1093.59995","1279.49449","6.10000"
"1.43880","0.10290","1109.24535","1297.64376","6.20000"
"1.46337","0.10462","1130.64912","1319.25195","6.30000"
"1.49112","0.10654","1151.86546","1344.33794","6.40000"
"1.50603","0.10772","1165.03146","1357.99800","6.50000"
"1.53600","0.10978","1189.05224","1385.45234","6.60000"
"1.55612","0.11133","1207.95891","1401.90683","6.70000"
"1.57813","0.11301","1227.59584","1418.71697","6.80000"
"1.59644","0.11452","1245.56723","1430.53615","6.90000"
"1.61910","0.11632","1267.88323","1448.07855","7.00000"
"1.64369","0.11823","1291.19854","1466.54330","7.10000"
"1.65585","0.11938","1304.75231","1474.90366","7.20000"
"1.68573","0.12150","1329.15133","1500.73785","7.30000"
"1.70344","0.12295","1345.14377","1515.15636","7.40000"
"1.72507","0.12461","1363.47185","1533.21016","7.50000"
"1.74671","0.12626","1380.35254","1553.52009","7.60000"
"1.77003","0.12802","1400.39728","1573.15040","7.70000"
"1.79480","0.12988","1421.66531","1594.49666","7.80000"
"1.80728","0.13101","1432.71033","1605.35402","7.90000"
"1.83746","0.13314","1456.71086","1632.66016","8.00000"
"1.85576","0.13462","1471.84823","1646.87959","8.10000"
"1.87683","0.13626","1490.59307","1664.95016","8.20000"
"1.90019","0.13801","1508.90253","1685.05800","8.30000"
"1.92166","0.13969","1527.86728","1703.52042","8.40000"
"1.94377","0.14141","1546.98733","1722.77936","8.50000"
"1.95836","0.14267","1559.46950","1733.66792","8.60000"
"1.98888","0.14486","1583.76957","1761.55788","8.70000"
"2.00743","0.14640","1599.64897","1778.56244","8.80000"
"2.02578","0.14791","1614.66002","1793.81168","8.90000"
