Specimen name,"CAG-CF-ER-Comp-E4"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"2.32033","0.15970","1843.77481","1986.72735","9.60000"
"2.33981","0.16115","1859.37050","2002.67741","9.70000"
"2.36687","0.16304","1880.88755","2026.18679","9.80000"
"2.39270","0.16487","1903.12578","2048.50244","9.90000"
"2.40668","0.16605","1915.36918","2059.13675","10.00000"
"2.43768","0.16813","1940.58090","2086.13672","10.10000"
"2.45617","0.16958","1956.65495","2102.30309","10.20000"
"2.48134","0.17137","1979.03370","2123.06366","10.30000"
"2.50191","0.17292","1995.74395","2140.11944","10.40000"
"2.52649","0.17469","2019.04052","2160.45952","10.50000"
"2.55127","0.17648","2037.42133","2181.28134","10.60000"
"2.56544","0.17767","2051.04612","2192.23532","10.70000"
"2.59779","0.17986","2077.10196","2220.10491","10.80000"
"2.61550","0.18129","2093.84388","2235.08850","10.90000"
"2.63875","0.18300","2113.10270","2254.66816","11.00000"
"2.66046","0.18462","2130.54311","2272.90206","11.10000"
"2.68197","0.18624","2149.21427","2290.76459","11.20000"
"2.70842","0.18814","2171.54133","2313.67815","11.30000"
"2.72209","0.18934","2183.80382","2323.34761","11.40000"
"2.75517","0.19159","2210.94047","2353.08777","11.50000"
"2.77269","0.19304","2225.69262","2366.69346","11.60000"
"2.79241","0.19457","2241.58308","2382.77344","11.70000"
"2.81537","0.19628","2260.70080","2402.11887","11.80000"
"2.83683","0.19792","2279.77103","2420.15184","11.90000"
"2.86204","0.19977","2300.94627","2441.12662","12.00000"
"2.87720","0.20105","2313.96034","2454.18772","12.10000"
"2.90810","0.20320","2339.19616","2480.90085","12.20000"
"2.92591","0.20466","2354.63865","2497.05720","12.30000"
"2.94567","0.20622","2372.59851","2512.76628","12.40000"
"2.97053","0.20803","2393.43452","2533.49100","12.50000"
"2.99269","0.20974","2413.63258","2551.95354","12.60000"
"3.01341","0.21137","2431.63225","2570.98419","12.70000"
"3.02914","0.21271","2446.06310","2584.15984","12.80000"
"3.05813","0.21477","2470.01974","2609.72069","12.90000"
"3.07975","0.21648","2488.25573","2628.34528","13.00000"
"3.09579","0.21789","2502.49309","2640.79124","13.10000"
"3.12051","0.21974","2524.05321","2662.56277","13.20000"
"3.14005","0.22135","2540.90456","2679.07674","13.30000"
"3.15962","0.22297","2557.57594","2696.08432","13.40000"
"3.17770","0.22447","2573.81960","2711.51843","13.50000"
"3.20273","0.22640","2594.85468","2731.76027","13.60000"
"3.22502","0.22818","2615.43295","2750.98882","13.70000"
"3.23865","0.22949","2628.38509","2760.90950","13.80000"
"3.26355","0.23138","2649.22460","2782.80000","13.90000"
"3.28449","0.23308","2667.82986","2801.35404","14.00000"
"3.30097","0.23455","2682.71915","2814.91736","14.10000"
"3.32233","0.23623","2700.01194","2834.07234","14.20000"
"3.34537","0.23804","2720.14458","2853.09181","14.30000"
"3.36742","0.23978","2739.79059","2872.31687","14.40000"
"3.38227","0.24113","2752.26706","2885.01754","14.50000"
"3.40829","0.24305","2774.95221","2908.26336","14.60000"
"3.43163","0.24484","2793.46877","2927.96199","14.70000"
"3.44547","0.24614","2807.29285","2939.57838","14.80000"
"3.46926","0.24790","2826.63712","2960.13476","14.90000"
"3.49134","0.24963","2845.59280","2978.85342","15.00000"
"3.51537","0.25146","2866.59575","2999.23494","15.10000"
"3.53073","0.25281","2879.81913","3012.62760","15.20000"
"3.55774","0.25476","2903.83794","3037.04944","15.30000"
"3.58002","0.25649","2924.51004","3056.43538","15.40000"
"3.59307","0.25772","2934.79441","3068.53186","15.50000"
"3.62048","0.25967","2957.73614","3092.41028","15.60000"
"3.64080","0.26130","2975.87621","3110.42322","15.70000"
"3.66530","0.26313","2997.34226","3131.19218","15.80000"
"3.68142","0.26452","3012.54820","3145.43908","15.90000"
"3.70334","0.26638","3013.14308","3193.73072","16.00000"
"3.72712","0.26816","3031.34369","3215.25126","16.10000"
"3.73947","0.26935","3044.07021","3227.08162","16.20000"
"3.77106","0.27150","3070.29416","3256.02433","16.30000"
"3.78859","0.27299","3085.22629","3272.04866","16.40000"
"3.81030","0.27467","3104.66182","3290.94240","16.50000"
"3.82989","0.27624","3121.63355","3307.86663","16.60000"
"3.85431","0.27808","3143.13127","3329.71849","16.70000"
"3.87660","0.27981","3162.57193","3349.39384","16.80000"
"3.88881","0.28099","3173.53569","3360.36668","16.90000"
"3.92107","0.28321","3201.09841","3391.01767","17.00000"
"3.93711","0.28463","3214.66778","3404.48366","17.10000"
"3.95789","0.28628","3232.88306","3422.66192","17.20000"
"3.97971","0.28796","3251.12953","3443.65020","17.30000"
"4.00238","0.28971","3272.40466","3462.91345","17.40000"
"4.02504","0.29148","3290.78943","3483.72990","17.50000"
"4.03692","0.29264","3302.68638","3494.10181","17.60000"
"4.06768","0.29479","3327.42138","3520.96721","17.70000"
"4.08575","0.29633","3343.73885","3536.65603","17.80000"
"4.10558","0.29794","3361.03281","3555.48481","17.90000"
"4.12428","0.29971","3332.14714","3515.96414","18.00000"
"4.14468","0.30133","3350.64740","3538.65488","18.10000"
"4.16658","0.30305","3372.34489","3559.79754","18.20000"
"4.18006","0.30432","3388.02254","3571.16130","18.30000"
"4.21076","0.30648","3416.49749","3599.58317","18.40000"
"4.22726","0.30807","3394.22468","3677.59564","18.50000"
"4.24504","0.30956","3410.09232","3694.69519","18.60000"
"4.26894","0.31135","3430.43846","3718.74962","18.70000"
