Specimen name,"CAG-CF-ER-Comp-E1"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"0.00020","0.00000","-1.89710","0.95611","0.00000"
"0.00209","0.00021","1.31746","2.60626","0.10000"
"0.02293","0.00186","15.12210","19.03013","0.20000"
"0.05882","0.00430","40.60248","49.58745","0.30000"
"0.08996","0.00643","63.59276","75.15764","0.40000"
"0.11018","0.00782","77.77997","92.77811","0.50000"
"0.13610","0.00960","97.06215","115.47357","0.60000"
"0.16187","0.01135","115.07010","137.69176","0.70000"
"0.18753","0.01310","134.26354","160.74056","0.80000"
"0.20734","0.01446","148.63146","177.46707","0.90000"
"0.23495","0.01632","167.88546","201.55491","1.00000"
"0.26287","0.01819","189.50467","224.32303","1.10000"
"0.28114","0.01944","203.40880","239.88578","1.20000"
"0.30929","0.02131","223.76225","264.08990","1.30000"
"0.33377","0.02295","241.66853","286.24322","1.40000"
"0.36117","0.02477","262.41338","310.02623","1.50000"
"0.38187","0.02618","277.00164","327.91606","1.60000"
"0.41015","0.02805","298.05806","351.72663","1.70000"
"0.43747","0.02986","318.33083","375.90385","1.80000"
"0.45437","0.03103","332.00206","390.26444","1.90000"
"0.48492","0.03303","353.29693","415.69164","2.00000"
"0.50921","0.03465","373.55983","434.75386","2.10000"
"0.53614","0.03643","394.10984","458.15727","2.20000"
"0.55796","0.03789","409.62562","476.91661","2.30000"
"0.58496","0.03967","430.20895","500.00905","2.40000"
"0.61215","0.04149","451.06420","523.17471","2.50000"
"0.62919","0.04268","463.90889","535.37177","2.60000"
"0.66212","0.04484","489.64308","563.24888","2.70000"
"0.68355","0.04633","506.36032","579.95250","2.80000"
"0.70671","0.04793","525.03328","599.44129","2.90000"
"0.73112","0.04957","544.75892","620.07539","3.00000"
"0.75771","0.05138","565.35692","641.25028","3.10000"
"0.78310","0.05312","585.59689","662.09026","3.20000"
"0.79999","0.05434","598.29355","676.59473","3.30000"
"0.83286","0.05652","624.59451","703.81677","3.40000"
"0.85304","0.05797","642.42055","720.45124","3.50000"
"0.87612","0.05960","660.56120","738.61593","3.60000"
"0.90079","0.06130","679.99819","757.30996","3.70000"
"0.92513","0.06301","700.76133","776.20253","3.80000"
"0.95042","0.06478","722.46714","796.69291","3.90000"
"0.96670","0.06599","734.50629","809.24382","4.00000"
"0.99865","0.06813","760.13658","835.24646","4.10000"
"1.02022","0.06969","779.16356","852.41423","4.20000"
"1.04169","0.07124","797.73983","869.24696","4.30000"
"1.06806","0.07306","820.03360","890.99293","4.40000"
"1.09042","0.07468","838.54777","909.14266","4.50000"
"1.11362","0.07633","856.75484","927.54705","4.60000"
"1.13210","0.07769","872.65711","940.93493","4.70000"
"1.16340","0.07980","897.34193","966.64194","4.80000"
"1.18566","0.08141","915.16762","983.31342","4.90000"
"1.20531","0.08286","932.53836","999.27606","5.00000"
"1.23167","0.08469","953.10889","1020.98077","5.10000"
"1.25438","0.08633","972.17027","1039.87928","5.20000"
"1.27667","0.08796","990.77227","1057.08232","5.30000"
"1.29770","0.08947","1008.20384","1074.41226","5.40000"
"1.32584","0.09143","1031.65302","1097.87169","5.50000"
"1.34755","0.09303","1049.01032","1115.84086","5.60000"
"1.36677","0.09447","1065.21300","1131.80547","5.70000"
"1.39478","0.09641","1088.34775","1155.30472","5.80000"
"1.41764","0.09809","1106.77222","1173.44316","5.90000"
"1.43686","0.09957","1121.82077","1189.46447","6.00000"
