Specimen name,"CAG-CF-ER-Comp-E3"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"0.00176","0.00000","2.51317","1.18424","0.00000"
"0.00573","0.00041","5.41377","4.98847","0.10000"
"0.03093","0.00246","25.55706","24.90524","0.20000"
"0.06027","0.00473","48.26625","49.76527","0.30000"
"0.08254","0.00644","65.33313","69.25235","0.40000"
"0.10050","0.00779","78.76341","84.30117","0.50000"
"0.12576","0.00967","98.87721","106.26724","0.60000"
"0.15161","0.01157","118.91640","129.15071","0.70000"
"0.16784","0.01275","130.99919","142.96781","0.80000"
"0.19470","0.01468","152.58518","165.57866","0.90000"
"0.21720","0.01628","168.12299","184.54017","1.00000"
"0.24291","0.01809","187.30394","207.73218","1.10000"
"0.26352","0.01954","202.45931","223.46337","1.20000"
"0.28999","0.02137","222.36469","247.01399","1.30000"
"0.31624","0.02319","243.65801","269.46710","1.40000"
"0.33251","0.02434","255.47185","283.92137","1.50000"
"0.36295","0.02639","280.00778","310.51046","1.60000"
"0.38588","0.02797","298.65306","329.80417","1.70000"
"0.41193","0.02972","319.04524","352.82696","1.80000"
"0.43419","0.03122","335.91891","373.12121","1.90000"
"0.46068","0.03299","355.81127","396.55081","2.00000"
"0.48756","0.03479","376.40933","420.24310","2.10000"
"0.50570","0.03601","390.24328","435.47721","2.20000"
"0.53907","0.03820","414.26180","465.77698","2.30000"
"0.56122","0.03967","431.00709","484.13107","2.40000"
"0.58559","0.04127","448.88427","504.53708","2.50000"
"0.61113","0.04294","467.28825","526.52677","2.60000"
"0.63788","0.04469","488.35523","550.31432","2.70000"
"0.66490","0.04644","509.17140","574.62900","2.80000"
"0.68322","0.04767","522.13081","588.96933","2.90000"
"0.71756","0.04986","548.17565","620.04034","3.00000"
"0.74007","0.05134","565.73009","639.49963","3.10000"
"0.76423","0.05290","585.63997","660.91219","3.20000"
"0.79176","0.05467","606.83180","685.04649","3.30000"
"0.81776","0.05635","627.41560","706.92634","3.40000"
"0.84453","0.05808","647.63677","729.84560","3.50000"
"0.86390","0.05935","661.86220","746.91605","3.60000"
"0.89673","0.06144","687.55232","776.36988","3.70000"
"0.92035","0.06300","703.96025","797.03680","3.80000"
"0.94444","0.06457","721.35264","818.72143","3.90000"
"0.97312","0.06641","742.58482","844.47535","4.00000"
"0.99763","0.06800","760.03640","865.45636","4.10000"
"1.02282","0.06964","779.48283","888.06992","4.20000"
"1.04432","0.07105","797.13366","906.12733","4.30000"
"1.07658","0.07310","822.06802","935.73617","4.40000"
"1.10200","0.07474","841.46817","956.19762","4.50000"
"1.12390","0.07618","858.33354","976.95168","4.60000"
"1.15286","0.07802","880.35711","1001.79296","4.70000"
"1.17800","0.07966","898.71802","1024.28405","4.80000"
"1.20263","0.08126","917.79797","1046.93975","4.90000"
"1.22745","0.08285","937.13758","1069.43236","5.00000"
"1.25713","0.08474","959.24467","1096.38297","5.10000"
"1.28187","0.08636","979.44238","1117.18243","5.20000"
"1.30339","0.08779","995.21666","1137.26256","5.30000"
"1.33337","0.08972","1017.98854","1166.12285","5.40000"
"1.35950","0.09144","1037.74783","1189.78636","5.50000"
"1.38062","0.09287","1053.39696","1210.14274","5.60000"
"1.40647","0.09455","1070.79500","1232.86468","5.70000"
"1.43381","0.09636","1091.07827","1258.34811","5.80000"
"1.46036","0.09811","1110.68820","1281.80359","5.90000"
"1.48055","0.09950","1126.46830","1302.30561","6.00000"
"1.50944","0.10139","1147.24610","1327.73130","6.10000"
"1.53765","0.10324","1166.33123","1354.39553","6.20000"
"1.55441","0.10448","1179.51282","1367.90238","6.30000"
"1.58173","0.10629","1200.26607","1393.49757","6.40000"
"1.60636","0.10797","1219.70032","1417.60986","6.50000"
"1.63358","0.10980","1239.68825","1443.05918","6.60000"
"1.65313","0.11120","1254.15053","1460.08190","6.70000"
"1.67949","0.11298","1275.68573","1483.98359","6.80000"
"1.70756","0.11488","1295.84887","1509.21696","6.90000"
"1.72353","0.11608","1309.37225","1522.79029","7.00000"
"1.75352","0.11805","1332.57220","1549.98421","7.10000"
"1.77644","0.11967","1349.11609","1569.33640","7.20000"
"1.80136","0.12139","1370.52336","1592.09420","7.30000"
"1.82124","0.12281","1386.00194","1609.29910","7.40000"
"1.84848","0.12466","1408.02271","1632.78659","7.50000"
"1.87671","0.12659","1432.19111","1658.40448","7.60000"
"1.89115","0.12773","1444.21449","1670.85719","7.70000"
"1.92253","0.12980","1469.05927","1699.78547","7.80000"
"1.94241","0.13126","1485.20677","1715.99595","7.90000"
"1.96721","0.13299","1504.43893","1738.35317","8.00000"
"1.98901","0.13454","1523.00007","1756.72001","8.10000"
"2.01510","0.13634","1543.32910","1779.71891","8.20000"
"2.04303","0.13826","1567.62311","1804.42422","8.30000"
"2.05634","0.13935","1578.29619","1815.27785","8.40000"
"2.08838","0.14145","1604.47415","1845.09996","8.50000"
"2.10819","0.14293","1619.51454","1861.06085","8.60000"
"2.13249","0.14464","1640.18048","1882.59117","8.70000"
"2.15612","0.14630","1659.41019","1902.49912","8.80000"
"2.18045","0.14803","1680.52316","1925.34411","8.90000"
"2.20550","0.14979","1699.51224","1946.34113","9.00000"
"2.22033","0.15099","1712.91723","1960.18140","9.10000"
"2.25386","0.15321","1740.37402","1990.65194","9.20000"
"2.27367","0.15470","1756.72397","2007.52309","9.30000"
"2.29508","0.15628","1773.43574","2027.25572","9.40000"
"2.31930","0.15798","1794.64719","2047.58393","9.50000"
"2.34286","0.15968","1813.12801","2067.49653","9.60000"
"2.36642","0.16138","1832.32070","2087.53068","9.70000"
"2.38420","0.16273","1847.38846","2104.56038","9.80000"
"2.41630","0.16488","1873.27224","2131.62997","9.90000"
"2.43489","0.16632","1888.69331","2147.91135","10.00000"
"2.45545","0.16786","1905.82150","2165.23092","10.10000"
"2.48129","0.16966","1927.97813","2187.74588","10.20000"
"2.50507","0.17139","1947.99935","2208.76886","10.30000"
"2.52627","0.17300","1963.37933","2230.69801","10.40000"
"2.54550","0.17445","1981.60065","2247.88091","10.50000"
"2.57364","0.17640","2004.83156","2273.33978","10.60000"
"2.59606","0.17805","2023.01354","2293.58720","10.70000"
"2.61514","0.17951","2038.87792","2310.39058","10.80000"
"2.64234","0.18140","2060.79427","2333.87225","10.90000"
"2.66367","0.18306","2079.26519","2359.67617","11.00000"
"2.68293","0.18455","2095.92935","2376.63300","11.10000"
"2.70488","0.18614","2114.27477","2396.10462","11.20000"
"2.73178","0.18806","2137.24654","2420.14788","11.30000"
"2.75527","0.18978","2155.89814","2441.57109","11.40000"
"2.77245","0.19117","2171.91433","2455.44990","11.50000"
