Specimen name,"CAG-CF-ER-Comp-E5"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,<None>

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"0.00011","0.00000","-2.01114","-0.98149","0.00000"
"0.00240","0.00046","1.27419","-1.73636","0.10000"
"0.01284","0.00242","20.11555","4.23214","0.20000"
"0.03674","0.00452","38.52323","25.16369","0.30000"
"0.06191","0.00658","57.17058","46.84550","0.40000"
"0.07675","0.00778","70.04978","60.76891","0.50000"
"0.10094","0.00969","87.74258","81.40923","0.60000"
"0.12137","0.01128","104.94027","99.54395","0.70000"
"0.14493","0.01311","122.25880","120.06077","0.80000"
"0.16347","0.01452","136.29995","136.88773","0.90000"
"0.18822","0.01637","155.10741","159.43353","1.00000"
"0.21284","0.01819","173.09524","181.96851","1.10000"
"0.22868","0.01936","186.09939","194.92714","1.20000"
"0.25700","0.02140","207.53282","220.16387","1.30000"
"0.27867","0.02297","225.58814","238.91951","1.40000"
"0.30339","0.02473","245.25996","262.13937","1.50000"
"0.32433","0.02622","262.12353","279.79375","1.60000"
"0.34976","0.02800","281.42042","302.68601","1.70000"
"0.37584","0.02980","301.19767","327.22650","1.80000"
"0.39290","0.03101","314.44078","341.94428","1.90000"
"0.42430","0.03315","338.28584","370.57023","2.00000"
"0.44627","0.03467","354.43643","390.11240","2.10000"
"0.47071","0.03630","373.54836","411.88896","2.20000"
"0.49519","0.03795","392.12615","434.13913","2.30000"
"0.52134","0.03970","410.12271","458.45084","2.40000"
"0.54771","0.04144","429.86928","482.39413","2.50000"
"0.56626","0.04268","444.69893","499.38768","2.60000"
"0.60005","0.04486","470.17896","529.72196","2.70000"
"0.62181","0.04631","486.49675","548.89754","2.80000"
"0.64571","0.04788","505.09605","571.77141","2.90000"
"0.67321","0.04965","525.57228","596.84308","3.00000"
"0.69944","0.05136","543.98901","619.53918","3.10000"
"0.72643","0.05310","563.28648","644.31742","3.20000"
"0.74480","0.05433","578.00778","662.14841","3.30000"
"0.77790","0.05645","601.95749","692.11423","3.40000"
"0.80171","0.05800","618.87142","714.52116","3.50000"
"0.82568","0.05958","636.20368","736.97057","3.60000"
"0.85346","0.06139","656.14883","762.85540","3.70000"
"0.87748","0.06298","672.05972","785.68980","3.80000"
"0.90297","0.06465","690.75153","810.27264","3.90000"
"0.92351","0.06602","705.08331","829.68659","4.00000"
"0.95604","0.06812","728.08698","861.25010","4.10000"
"0.98049","0.06974","744.24467","886.23672","4.20000"
"1.00201","0.07119","756.91647","908.15569","4.30000"
"1.03014","0.07302","776.11802","935.18174","4.40000"
"1.05442","0.07465","791.49700","960.30423","4.50000"
"1.07915","0.07629","808.43497","985.11111","4.60000"
"1.10232","0.07782","823.01366","1008.44819","4.70000"
"1.13213","0.07976","842.70339","1038.01035","4.80000"
"1.15609","0.08136","858.41148","1063.22311","4.90000"
"1.17766","0.08281","872.42917","1083.97868","5.00000"
"1.20744","0.08474","891.09136","1112.63094","5.10000"
"1.23277","0.08643","907.31151","1139.12497","5.20000"
"1.25445","0.08789","921.10148","1160.21151","5.30000"
"1.27907","0.08952","936.72273","1186.16002","5.40000"
"1.30707","0.09136","956.24547","1212.85557","5.50000"
"1.33333","0.09310","971.94227","1238.71095","5.60000"
"1.35376","0.09450","985.82322","1259.75977","5.70000"
"1.38269","0.09638","1006.56017","1287.25066","5.80000"
"1.41081","0.09824","1024.22258","1315.32934","5.90000"
"1.42827","0.09950","1036.53746","1333.85300","6.00000"
"1.45494","0.10126","1054.05052","1359.17217","6.10000"
"1.48016","0.10296","1071.17719","1384.10786","6.20000"
"1.50787","0.10481","1090.62833","1411.07885","6.30000"
"1.52737","0.10620","1102.59652","1431.16980","6.40000"
"1.55381","0.10798","1120.76360","1456.85929","6.50000"
"1.58196","0.10986","1141.36527","1483.59535","6.60000"
"1.59853","0.11110","1151.89829","1501.12587","6.70000"
"1.62776","0.11303","1172.67203","1527.66239","6.80000"
"1.65104","0.11466","1189.13036","1550.83917","6.90000"
"1.67614","0.11640","1208.07812","1574.68033","7.00000"
"1.69509","0.11780","1221.90593","1592.97348","7.10000"
"1.72215","0.11966","1241.85311","1618.75843","7.20000"
"1.75010","0.12158","1261.27130","1644.99052","7.30000"
"1.76449","0.12275","1272.71574","1658.37735","7.40000"
"1.79501","0.12480","1295.23990","1686.99934","7.50000"
"1.81403","0.12626","1309.36829","1706.14757","7.60000"
"1.83864","0.12801","1328.54434","1729.15054","7.70000"
"1.85906","0.12953","1343.88020","1747.71296","7.80000"
"1.88424","0.13133","1364.36708","1770.59439","7.90000"
"1.91179","0.13327","1385.40287","1795.86466","8.00000"
"1.92372","0.13436","1394.55101","1806.64205","8.10000"
"1.95444","0.13644","1416.78704","1834.90966","8.20000"
"1.97335","0.13791","1431.51800","1851.95322","8.30000"
"1.99738","0.13966","1452.27229","1874.80985","8.40000"
"2.01937","0.14129","1469.53121","1893.10790","8.50000"
"2.04319","0.14303","1486.58582","1915.76732","8.60000"
"2.06730","0.14481","1505.53731","1938.16784","8.70000"
"2.08121","0.14600","1517.46999","1951.73128","8.80000"
"2.11355","0.14820","1543.22968","1981.78552","8.90000"
"2.13197","0.14968","1557.57647","1997.06270","9.00000"
"2.15308","0.15130","1573.49592","2016.92269","9.10000"
"2.17559","0.15297","1590.94436","2037.99363","9.20000"
"2.19831","0.15467","1607.05810","2060.05317","9.30000"
"2.22139","0.15640","1625.49608","2082.17395","9.40000"
"2.23757","0.15772","1637.68406","2097.74286","9.50000"
"2.26926","0.15990","1662.91941","2126.80222","9.60000"
"2.28648","0.16131","1676.24047","2142.61282","9.70000"
"2.30658","0.16287","1691.33744","2162.14242","9.80000"
"2.33093","0.16465","1710.68264","2184.30138","9.90000"
"2.35382","0.16637","1727.30489","2205.97885","10.00000"
"2.37543","0.16803","1745.38651","2225.63604","10.10000"
"2.39305","0.16944","1759.88360","2241.23243","10.20000"
"2.42072","0.17141","1781.40926","2266.28245","10.30000"
"2.44163","0.17304","1797.02020","2286.77946","10.40000"
"2.46009","0.17453","1811.96665","2303.78471","10.50000"
"2.48589","0.17640","1833.32490","2327.95510","10.60000"
"2.50718","0.17805","1849.88719","2348.63744","10.70000"
"2.52603","0.17957","1863.93934","2365.95725","10.80000"
"2.54575","0.18110","1879.98440","2383.85424","10.90000"
"2.57271","0.18308","1902.59155","2408.03999","11.00000"
"2.59471","0.18478","1920.67248","2428.88974","11.10000"
"2.61133","0.18618","1933.32077","2445.39231","11.20000"
"2.63635","0.18802","1952.15165","2469.34174","11.30000"
"2.65820","0.18971","1969.99963","2489.99475","11.40000"
"2.67509","0.19115","1983.90963","2506.25215","11.50000"
"2.69888","0.19293","2003.67370","2526.86394","11.60000"
"2.72202","0.19472","2022.72530","2549.32721","11.70000"
"2.74481","0.19646","2040.43742","2571.72179","11.80000"
"2.75933","0.19776","2053.03123","2585.68255","11.90000"
"2.78607","0.19968","2074.93640","2609.27808","12.00000"
"2.80971","0.20145","2094.33818","2629.63958","12.10000"
"2.82544","0.20283","2106.93898","2644.56240","12.20000"
"2.85144","0.20470","2126.88930","2669.18424","12.30000"
"2.87042","0.20625","2142.30246","2686.17296","12.40000"
"2.89617","0.20813","2161.56151","2710.40760","12.50000"
"2.91242","0.20951","2174.02214","2726.28409","12.60000"
"2.93796","0.21137","2194.98482","2749.64399","12.70000"
"2.96423","0.21328","2216.45134","2774.22392","12.80000"
"2.97590","0.21442","2226.89984","2784.86940","12.90000"
"3.00405","0.21640","2248.79151","2811.21000","13.00000"
"3.02302","0.21793","2264.61305","2828.93796","13.10000"
"3.04939","0.21984","2286.61834","2853.30112","13.20000"
"3.06520","0.22120","2298.01564","2867.09704","13.30000"
"3.08977","0.22301","2319.63210","2891.00222","13.40000"
"3.11486","0.22485","2339.75705","2913.67387","13.50000"
"3.12774","0.22605","2350.33571","2926.51937","13.60000"
"3.15804","0.22815","2373.98595","2955.15382","13.70000"
"3.17595","0.22963","2388.12575","2971.20493","13.80000"
"3.19961","0.23142","2407.68143","2993.18228","13.90000"
"3.21708","0.23286","2421.41495","3009.43805","14.00000"
"3.24082","0.23464","2440.39088","3030.68385","14.10000"
"3.26624","0.23653","2460.66158","3054.93455","14.20000"
"3.27834","0.23771","2470.48936","3065.72858","14.30000"
"3.30932","0.23987","2494.89490","3094.74044","14.40000"
"3.32592","0.24132","2509.32295","3110.01623","14.50000"
"3.34726","0.24299","2527.75312","3131.13956","14.60000"
"3.36643","0.24454","2543.81471","3148.56949","14.70000"
"3.39004","0.24635","2562.46375","3172.05745","14.80000"
"3.41407","0.24818","2581.59288","3194.49883","14.90000"
"3.42566","0.24935","2591.85676","3206.19531","15.00000"
"3.45449","0.25141","2614.72841","3233.28190","15.10000"
"3.47318","0.25299","2629.30896","3250.89949","15.20000"
"3.49216","0.25459","2645.84273","3267.92151","15.30000"
"3.51454","0.25634","2664.83380","3290.84741","15.40000"
"3.53483","0.25802","2678.95032","3309.65966","15.50000"
"3.55552","0.25974","2695.02914","3329.15667","15.60000"
"3.56846","0.26102","2705.54447","3340.78842","15.70000"
"3.59611","0.26309","2727.91786","3368.06825","15.80000"
"3.61518","0.26475","2744.37573","3386.87492","15.90000"
"3.63100","0.26625","2758.11646","3401.47945","16.00000"
"3.65225","0.26801","2774.94988","3421.82256","16.10000"
"3.67165","0.26972","2791.39681","3440.53563","16.20000"
"3.68872","0.27133","2805.52288","3456.90805","16.30000"
"3.70246","0.27273","2815.82633","3468.16005","16.40000"
"3.72877","0.27481","2836.98156","3493.60472","16.50000"
"3.74665","0.27647","2851.44802","3511.36667","16.60000"
"3.75875","0.27783","2861.44763","3522.80424","16.70000"
"3.78154","0.27972","2880.06943","3544.30987","16.80000"
"3.80008","0.28142","2893.76150","3561.03457","16.90000"
"3.81496","0.28292","2906.54972","3577.05005","17.00000"
"3.83192","0.28449","2920.95402","3594.34169","17.10000"
"3.85325","0.28639","2941.93090","3627.14403","17.20000"
"3.87248","0.28810","2958.43463","3649.26248","17.30000"
"3.88610","0.28948","2969.42005","3662.84163","17.40000"
"3.91027","0.29140","2989.11426","3685.41991","17.50000"
"3.93005","0.29312","3006.53977","3705.93672","17.60000"
"3.94354","0.29451","3017.34568","3719.48956","17.70000"
"3.96332","0.29618","3034.01751","3739.77679","17.80000"
"3.98467","0.29798","3049.07910","3760.97462","17.90000"
"4.00604","0.29977","3067.07993","3782.45790","18.00000"
"4.02070","0.30122","3080.04441","3796.71343","18.10000"
"4.04369","0.30308","3098.48250","3820.21721","18.20000"
"4.06298","0.30477","3113.27958","3838.38546","18.30000"
"4.07596","0.30612","3124.13485","3851.74574","18.40000"
"4.09866","0.30794","3143.12382","3874.36477","18.50000"
"4.11872","0.30967","3160.01149","3895.00475","18.60000"
"4.13967","0.31143","3177.59602","3915.77976","18.70000"
"4.15388","0.31283","3188.99495","3930.40245","18.80000"
"4.17757","0.31471","3209.18788","3954.60054","18.90000"
"4.19781","0.31644","3225.82200","3974.21466","19.00000"
"4.20938","0.31776","3240.09708","3990.90676","19.10000"
"4.23528","0.31977","3264.12614","4025.49887","19.20000"
"4.25107","0.32129","3277.29760","4044.96817","19.30000"
"4.27148","0.32303","3293.34731","4069.29944","19.40000"
"4.28749","0.32452","3307.76023","4086.79014","19.50000"
"4.31006","0.32638","3327.07283","4116.12215","19.60000"
"4.33170","0.32821","3347.47112","4142.31559","19.70000"
"4.34230","0.32943","3357.54617","4154.53827","19.80000"
"4.36903","0.33144","3380.00036","4182.83371","19.90000"
"4.38532","0.33296","3393.75040","4200.32535","20.00000"
"4.40656","0.33471","3410.38569","4222.71155","20.10000"
"4.42407","0.33626","3424.85704","4240.26605","20.20000"
"4.44525","0.33801","3441.82644","4262.18752","20.30000"
"4.46848","0.33988","3461.51344","4286.42286","20.40000"
"4.47882","0.34107","3471.96986","4297.57219","20.50000"
"4.50595","0.34311","3494.16677","4324.43386","20.60000"
"4.52234","0.34462","3508.02392","4340.57927","20.70000"
"4.54359","0.34638","3526.65898","4361.55219","20.80000"
"4.56219","0.34798","3540.82813","4381.28132","20.90000"
"4.58086","0.34961","3556.37446","4399.85981","21.00000"
"4.60447","0.35148","3575.13642","4424.77642","21.10000"
"4.61588","0.35273","3585.30274","4436.98093","21.20000"
"4.64417","0.35482","3608.08941","4466.23471","21.30000"
"4.66145","0.35637","3622.24062","4484.83462","21.40000"
"4.67864","0.35791","3637.21070","4502.03894","21.50000"
"4.69942","0.35962","3653.32607","4524.72828","21.60000"
"4.72022","0.36134","3670.72783","4546.03974","21.70000"
"4.74182","0.36312","3690.25185","4568.58706","21.80000"
"4.75510","0.36444","3701.52923","4581.74804","21.90000"
"4.78120","0.36642","3723.80065","4608.98317","22.00000"
"4.79948","0.36801","3739.53558","4629.48252","22.10000"
"4.81595","0.36952","3753.43184","4646.99883","22.20000"
"4.83965","0.37137","3774.70558","4671.26584","22.30000"
"4.86012","0.37309","3790.76623","4694.32771","22.40000"
"4.87843","0.37471","3807.45553","4713.15719","22.50000"
"4.89293","0.37608","3818.90032","4729.41110","22.60000"
"4.91864","0.37804","3840.88256","4755.38196","22.70000"
"4.93876","0.37972","3858.37699","4777.15209","22.80000"
"4.95429","0.38118","3870.99967","4794.24931","22.90000"
"4.97942","0.38309","3891.41659","4818.56940","23.00000"
"4.99846","0.38473","3909.77971","4837.70203","23.10000"
"5.01554","0.38627","3923.89856","4856.30427","23.20000"
"5.03272","0.38778","3938.94920","4875.05971","23.30000"
"5.05827","0.38974","3960.42550","4901.48831","23.40000"
"5.07921","0.39147","3977.59397","4922.40861","23.50000"
"5.09311","0.39283","3989.64202","4937.24737","23.60000"
"5.11804","0.39474","4012.24708","4962.94210","23.70000"
"5.13783","0.39642","4028.64395","4984.43469","23.80000"
"5.15245","0.39782","4041.82868","5000.40781","23.90000"
"5.06589","0.39968","3804.02966","6511.67845","24.00000"
"5.09165","0.40136","3820.20767","6549.00214","24.10000"
"5.11730","0.40305","3835.91116","6583.41823","24.20000"
"5.13680","0.40445","3843.42181","6607.97860","24.30000"
"5.16647","0.40640","3860.29202","6646.28111","24.40000"
"5.18574","0.40816","3840.41411","6641.11041","24.50000"
"5.20052","0.40945","3837.88790","6628.77318","24.60000"
"5.22848","0.41134","3852.79115","6659.02486","24.70000"
"5.24921","0.41294","3864.76330","6676.57377","24.80000"
"5.27405","0.41476","3880.81721","6694.17856","24.90000"
"5.29055","0.41619","3892.48785","6709.06156","25.00000"
"5.31522","0.41807","3910.48891","6743.06229","25.10000"
"5.33541","0.41979","3931.72307","6807.29281","25.20000"
"5.34668","0.42103","3937.38784","6801.50604","25.30000"
"5.36808","0.42311","3945.36089","6803.94471","25.40000"
"5.29319","0.42462","3318.38150","4579.64325","25.50000"
"5.31924","0.42642","3360.84631","4622.64474","25.60000"
"5.33881","0.42788","3378.23178","4646.48893","25.70000"
"5.36325","0.42959","3392.80814","4672.71358","25.80000"
"5.39021","0.43151","3419.06724","4657.76026","25.90000"
"5.40288","0.43268","3431.60727","4665.91492","26.00000"
"5.43561","0.43489","3460.09829","4688.40310","26.10000"
"5.45200","0.43633","3485.56973","4697.08024","26.20000"
"5.47208","0.43800","3509.42696","4733.62254","26.30000"
"5.48971","0.43952","3531.77963","4762.17270","26.40000"
"5.50994","0.44125","3552.53951","4785.25739","26.50000"
"5.38134","0.44187","2328.52390","4868.93347","26.53400"
"5.22628","0.44191","976.57449","4959.64708","26.53600"
"5.02192","0.44195","-766.43017","5078.45776","26.53800"
"4.78034","0.44200","-2801.05486","5216.01923","26.54000"
"4.64859","0.44202","-3902.33751","5289.55506","26.54100"
"4.51101","0.44205","-5047.86195","5365.19988","26.54200"
"4.36851","0.44208","-6229.61344","5442.32968","26.54300"
"4.22207","0.44210","-7440.12278","5520.53470","26.54400"
"4.07255","0.44213","-8672.44042","5599.52017","26.54500"
"3.92061","0.44216","-9920.11186","5678.99924","26.54600"
"3.76709","0.44220","-11177.14308","5758.65805","26.54700"
"3.61270","0.44223","-12437.98807","5838.16506","26.54800"
"3.45804","0.44227","-13697.53666","5917.19523","26.54900"
"3.30380","0.44230","-14951.10523","5995.43331","26.55000"
"3.15052","0.44234","-16194.42925","6072.60317","26.55100"
"2.99869","0.44239","-17423.64839","6148.48128","26.55200"
"2.84878","0.44243","-18635.29906","6222.87998","26.55300"
