Specimen name,"CAG-CF-ER-Comp-E2"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,<None>

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"2.26481","0.15969","1663.04491","2096.16753","9.60000"
"2.28474","0.16130","1678.23886","2114.61191","9.70000"
"2.30460","0.16286","1692.62174","2133.00344","9.80000"
"2.32905","0.16469","1711.17252","2155.79662","9.90000"
"2.35147","0.16641","1728.69582","2176.83730","10.00000"
"2.36841","0.16785","1742.10221","2191.95080","10.10000"
"2.39387","0.16970","1762.78118","2215.53934","10.20000"
"2.41817","0.17153","1781.44872","2238.86431","10.30000"
"2.43328","0.17288","1793.96675","2252.60365","10.40000"
"2.45595","0.17456","1810.96757","2273.56120","10.50000"
"2.47890","0.17631","1827.96724","2295.03750","10.60000"
"2.50481","0.17822","1849.48044","2320.04980","10.70000"
"2.51890","0.17950","1860.77750","2333.00333","10.80000"
"2.54516","0.18140","1881.32375","2358.55370","10.90000"
"2.56806","0.18313","1898.56882","2380.02092","11.00000"
"2.58321","0.18448","1912.63726","2394.19774","11.10000"
"2.60917","0.18635","1931.55883","2418.29106","11.20000"
"2.62920","0.18796","1947.94615","2437.29516","11.30000"
"2.65537","0.18987","1968.21126","2460.66414","11.40000"
"2.66895","0.19113","1978.64557","2475.04865","11.50000"
"2.69484","0.19302","1997.99775","2499.67328","11.60000"
"2.71992","0.19488","2017.29033","2524.58709","11.70000"
"2.73227","0.19609","2027.84548","2536.73247","11.80000"
"2.76075","0.19809","2048.94971","2565.27029","11.90000"
"2.77919","0.19963","2062.73748","2583.79872","12.00000"
"2.80303","0.20143","2082.04682","2608.10880","12.10000"
"2.81915","0.20281","2093.92491","2621.73917","12.20000"
"2.84490","0.20469","2114.10108","2646.40874","12.30000"
"2.87066","0.20659","2135.16015","2671.96773","12.40000"
"2.88121","0.20771","2144.94881","2683.66351","12.50000"
"2.90918","0.20969","2164.99902","2711.79411","12.60000"
"2.92924","0.21130","2180.52207","2731.32441","12.70000"
"2.95145","0.21304","2198.25492","2753.11968","12.80000"
"2.97008","0.21458","2220.04438","2787.44218","12.90000"
"2.99289","0.21635","2243.68554","2810.61023","13.00000"
"3.01761","0.21819","2262.31036","2838.65165","13.10000"
"3.02908","0.21935","2271.56491","2849.69900","13.20000"
"3.05888","0.22143","2294.73156","2879.23799","13.30000"
"3.07824","0.22301","2310.63878","2903.73689","13.40000"
"3.09932","0.22468","2328.00725","2939.05521","13.50000"
"3.11958","0.22628","2344.67397","2960.95386","13.60000"
"3.14197","0.22802","2362.20891","2983.41503","13.70000"
"3.16483","0.22978","2379.63861","3006.42545","13.80000"
"3.17767","0.23101","2389.88013","3020.83860","13.90000"
"3.20939","0.23320","2414.95809","3052.91452","14.00000"
"3.22765","0.23474","2430.39406","3072.35518","14.10000"
"3.24507","0.23623","2446.54948","3090.36160","14.20000"
"3.26901","0.23802","2464.47371","3113.97109","14.30000"
"3.28973","0.23970","2480.22401","3135.95147","14.40000"
"3.31094","0.24139","2495.88164","3156.77677","14.50000"
"3.32531","0.24270","2509.41631","3172.71496","14.60000"
"3.35506","0.24482","2532.41044","3203.68097","14.70000"
"3.37339","0.24638","2548.57098","3221.95562","14.80000"
"3.39070","0.24786","2560.23719","3242.85938","14.90000"
"3.41574","0.24972","2580.59730","3278.36280","15.00000"
"3.43626","0.25139","2597.41605","3302.09732","15.10000"
"3.45565","0.25301","2608.32277","3333.64494","15.20000"
"3.47132","0.25438","2619.66721","3360.99905","15.30000"
"3.49879","0.25640","2640.89508","3396.76859","15.40000"
"3.51970","0.25808","2657.00999","3419.85840","15.50000"
"3.53620","0.25954","2670.21102","3439.45622","15.60000"
"3.56187","0.26145","2690.26053","3467.41453","15.70000"
"3.58098","0.26304","2704.65668","3491.07292","15.80000"
"3.59894","0.26458","2719.17251","3513.28915","15.90000"
"3.61732","0.26609","2735.24923","3533.01177","16.00000"
"3.64320","0.26807","2759.11763","3562.09208","16.10000"
"3.66398","0.26979","2782.46286","3585.39494","16.20000"
"3.67862","0.27115","2796.50674","3603.96900","16.30000"
"3.70455","0.27306","2816.23448","3634.02208","16.40000"
"3.72441","0.27470","2831.80946","3659.26255","16.50000"
"3.74149","0.27620","2846.49828","3679.14187","16.60000"
"3.76340","0.27790","2864.11867","3703.88688","16.70000"
"3.78591","0.27969","2883.10647","3730.51711","16.80000"
"3.80731","0.28140","2900.01184","3754.26281","16.90000"
"3.82302","0.28282","2912.80774","3772.81941","17.00000"
"3.84870","0.28474","2932.28403","3801.25665","17.10000"
"3.87048","0.28651","2834.23974","3826.09596","17.20000"
"3.88408","0.28783","2937.56975","3842.13240","17.30000"
"3.90799","0.28964","3004.11903","3868.53889","17.40000"
"3.92777","0.29130","2995.46029","3891.58726","17.50000"
"3.95061","0.29310","3013.10443","3916.67103","17.60000"
"3.96600","0.29450","3026.62305","3934.75359","17.70000"
"3.98982","0.29635","3045.91260","3962.05345","17.80000"
"4.01489","0.29827","3064.46548","3990.87649","17.90000"
"4.02537","0.29945","3074.79198","4003.62117","18.00000"
"4.05122","0.30137","3093.97723","4032.79625","18.10000"
"4.06896","0.30292","3108.26860","4053.51399","18.20000"
"4.09329","0.30479","3127.53674","4080.58986","18.30000"
"4.10912","0.30624","1741.89138","4098.94716","18.40000"
"4.13012","0.30794","2391.09015","4122.21905","18.50000"
"4.15592","0.30990","2051.70596","4152.37062","18.60000"
"4.16614","0.31107","3193.50697","4166.61892","18.70000"
"4.19496","0.31313","3201.76780","4199.91743","18.80000"
"4.21219","0.31467","3120.05845","4221.17673","18.90000"
"4.23245","0.31635","3241.49127","4247.51965","19.00000"
"4.24862","0.31786","3280.75723","5194.27424","19.10000"
"4.27103","0.31964","3304.15927","5583.96522","19.20000"
"4.29626","0.32157","3313.79124","5648.31728","19.30000"
"4.30644","0.32273","-19494.55589","5684.05353","19.40000"
"4.33563","0.32482","3898.15168","5737.75358","19.50000"
"4.35131","0.32627","3307.08246","5782.35090","19.60000"
"4.37136","0.32795","3398.48152","5835.23791","19.70000"
